"log_Gamma","ATT_LB","SE_LB","SE.Boot_LB","ATT_UB","SE_UB","SE.Boot_UB"
0,-0.911360105693582,0.114143593915898,0.114891384367607,-0.911360105693582,0.114143593915898,0.124891374432472
0.01,-0.930747314825794,0.114027633239385,0.121634396031042,-0.892017943621932,0.114262243406926,0.121447945402965
0.02,-0.950184652233024,0.113915733058582,0.121861665660181,-0.872760692376222,0.114387177310315,0.119956376390549
0.03,-0.969673722506266,0.113810681530427,0.117981261808043,-0.853457209487749,0.114519080323213,0.124048061050097
0.04,-0.989130818263438,0.113707243254768,0.12242189526217,-0.834248900820001,0.11465573016271,0.119793871919652
0.05,-1.00878182004084,0.113611974898431,0.121227595830425,-0.815102885901737,0.114785300974146,0.116927521346763
0.06,-1.02843162885526,0.113527873221207,0.120529614384962,-0.79594836154816,0.114923549559235,0.119673904271965
0.07,-1.04809511879314,0.113435801673264,0.123920819013069,-0.777038360720353,0.115077741653718,0.117112003765133
0.08,-1.06786894998402,0.113358068916741,0.124913570774986,-0.75788036290085,0.11522500559862,0.118543561708134
0.09,-1.08747939679868,0.113285197769279,0.121102702542267,-0.738702879129195,0.115356242333477,0.117713696582996
0.1,-1.10710683133682,0.113238561829756,0.118889422971762,-0.719830082158154,0.115510416057499,0.122164255577986
0.11,-1.12688534048723,0.113193204500105,0.11859902919914,-0.70093361564088,0.115656628733579,0.118948659307768
0.12,-1.14657305376269,0.113148651244373,0.123512348404414,-0.682051386427652,0.115809729629526,0.118092252719234
0.13,-1.1663162253106,0.113132326454609,0.120312511786349,-0.663092047038169,0.116000787073472,0.117565119732695
0.14,-1.18622149950158,0.113116420586569,0.117174762151388,-0.64394760834745,0.116131234695595,0.125350872210114
0.15,-1.20589357322217,0.1130699379294,0.123434151095334,-0.625045021532142,0.116288361141634,0.118379273510278
0.16,-1.22578049237018,0.113068478648479,0.123262649429795,-0.606425977334239,0.11642967343821,0.117472385485806
0.17,-1.24564539562787,0.113076830920448,0.119910817884344,-0.587832714421743,0.116624709250315,0.1186240005941
0.18,-1.26556600800765,0.113078318127011,0.12066665514989,-0.568838809366806,0.116784164970158,0.122597598942428
0.19,-1.28596385929576,0.113077096645236,0.124983067974383,-0.549635569087881,0.116959108913745,0.119221782753875
0.2,-1.30595253043432,0.113041910828754,0.122094166242573,-0.530523785657805,0.117114108761821,0.1223435671966
0.21,-1.32597468620661,0.113041373560331,0.1223847347635,-0.511920417847703,0.117260731312684,0.113891067246803
0.22,-1.34572745312601,0.113128605523462,0.123063525704602,-0.493102844962453,0.117483278773536,0.117881584406104
0.23,-1.36583455421939,0.113146037769043,0.126925317441529,-0.474377503127286,0.117637456777789,0.118595757276697
0.24,-1.3865984680637,0.113169746143174,0.123393946103709,-0.455353164482558,0.11785403168191,0.114571028695171
