"BATCH","Est_DID_NP_X_01","Est_DID_NP_X_02","Est_UDID_NP_X_01","Est_UDID_NP_X_02","SE_DID_NP_X_01","SE_DID_NP_X_02","SE_UDID_NP_X_01","SE_UDID_NP_X_02","BSE_UDID_NP_X_01","BSE_UDID_NP_X_02","DID_Time","UDID_Time_01","UDID_Time_02"
1,-0.258647141772041,-0.960245834272394,0.0400118267558997,-0.911360105693582,0.139434618303914,0.129618609508439,0.119482651317242,0.114143593915898,0.117167637077951,0.124891374432472,480.155990839005,220.015607833862,221.556453704834
2,-0.300535904451718,-0.903197158913904,0.0290676507707936,-0.949340840029962,0.167211649003366,0.127922959022759,0.133146522021448,0.118383514704247,0.131897674291481,0.128839665172364,501.056893587112,214.697237491608,206.322206735611
3,-0.399519818329733,-0.773551682477385,0.0178670369343292,-0.914442357959246,0.185909816727938,0.180048737749505,0.126537940909272,0.115927552817575,0.12852041483863,0.121026994194222,645.446116447449,285.495635986328,288.917984485626
4,-0.26566480041535,-0.811890956290009,-0.0580810908144206,-0.767652815244959,0.167900658984284,0.142259621387023,0.140080008987017,0.144999799957991,0.145019901390199,0.153858189038633,687.032416820526,306.211141586304,306.511401891708
5,-0.362958560074334,-0.862542561524481,-0.0200919395054507,-0.896440451711475,0.163536266385783,0.137189139512463,0.144636302284281,0.117901694301029,0.147907774925652,0.124177821163605,669.773446321487,296.989778757095,310.098359823227
6,-0.221526968051236,-0.901291338795783,0.0127857562801634,-0.907315711992913,0.164715037419216,0.13082385955218,0.138162382926865,0.118162239494525,0.136454226246471,0.118918532145832,648.141273260117,288.812194347382,282.573028087616
7,-0.289585857776088,-0.995505701437153,0.030117589348316,-0.959162145690512,0.150571397200537,0.147137434622176,0.123193192992279,0.118662910444909,0.122187968755825,0.126235285239218,595.734490156174,280.728404521942,282.245789289474
8,-0.293662800093566,-0.999533996572499,-0.0219299871980287,-0.927783512811504,0.147076696556509,0.134681562809692,0.141093410966907,0.117535414684448,0.14076657701771,0.122583766176059,551.242902994156,233.40026640892,235.944422721863
9,-0.326722187566083,-0.892744791693266,-0.0706102979551605,-0.905571426042732,0.14123272522369,0.126404068511242,0.144701444324116,0.141964595064036,0.145621448944556,0.144584673369841,923.697540521622,416.194954872131,410.43782377243
10,-0.342678158041193,-0.88293171969932,0.0537865269392812,-0.946006846695491,0.188094536438134,0.135316744239075,0.121865827948091,0.108297033977834,0.123161067282659,0.112108953337473,531.928689956665,255.143046140671,249.046623945236
11,-0.341265696665421,-0.899153754547038,0.0204127381383719,-0.889908780514522,0.168230814834749,0.136542515113741,0.121702676556012,0.112617204292587,0.12614385855402,0.121548709345639,649.775422334671,277.977783441544,271.738653421402
12,-0.241246113069778,-0.924741995202345,0.0304532581357243,-0.883845002516037,0.131408013834531,0.117655177926353,0.121660225576757,0.120311243702596,0.125509124456137,0.124313943603989,378.625646829605,160.522262096405,157.406002044678
13,-0.335623031501238,-0.88569888348019,-0.0681194194016322,-0.917448483330905,0.178951849204449,0.159478155258891,0.149515408083485,0.115545789355921,0.150046678527305,0.116883909926152,343.244532108307,154.219187259674,151.679543018341
14,-0.321242576112712,-0.870591426704243,0.0139042296389928,-0.950568578838464,0.131420295423005,0.120899079614873,0.129623717660138,0.11041624786441,0.12810476400563,0.116816775099183,378.400988340378,157.730709314346,154.556627035141
15,-0.287757699062364,-0.90236326926384,0.0461876776337999,-0.853698815825753,0.152400428084611,0.11609481848416,0.125291980677989,0.112771349853266,0.125308520648463,0.12261815611193,528.310086727142,242.529514551163,238.519986391068
16,-0.345827431745444,-0.882412510152798,-0.0078136661158552,-0.899398722187213,0.147862311314162,0.129845011983484,0.130267654049381,0.12275811978044,0.128376368909432,0.127174981482766,728.04451417923,295.390417575836,306.290364265442
